英雄,最大生命,生命成长,初始生命,最大法力,法力成长,初始法力,最高物攻,物攻成长,初始物攻,最大物防,物防成长,初始物防,最大每5秒回血,每5秒回血成长,初始每5秒回血,最大每5秒回蓝,每5秒回蓝成长,初始每5秒回蓝,最大攻速,攻击范围,主要定位,次要定位 
夏侯惇,7350,288.8,3307,1746,94,430,321,11.57,159,397,21.14,101,98,3.357,51,37,1.571,15,28.00%,近战,坦克,战士
钟无艳,7000,275,3150,1760,95,430,318,11,164,409,22.07,100,92,3.143,48,37,1.571,15,14.00%,近战,战士,坦克
张飞,8341,329.4,3450,100,0,100,301,10.57,153,504,27.07,125,115,4.143,57,5,0,5,14.00%,近战,坦克,辅助
牛魔,8476,352.8,3537,1926,104,470,273,8.357,156,394,20.36,109,117,4.214,58,42,1.786,17,14.00%,近战,坦克,辅助
吕布,7344,270,3564,0,0,0,343,12.36,170,390,20.79,99,97,3.071,54,0,0,0,14.00%,近战,战士,坦克
亚瑟,8050,316.3,3622,0,0,0,346,13,164,400,21.57,98,106,3.643,55,0,0,0,14.00%,近战,战士,坦克
芈月,6164,281.5,3105,100,0,100,289,9.786,152,361,19.5,88,77,2.357,44,0,0,0,0.00%,远程,法师,坦克
程咬金,8611,369.6,3437,0,0,0,316,11.07,161,504,27.07,125,119,4.429,57,0,0,0,28.00%,近战,坦克,战士
廉颇,9328,412.1,3558,1708,92,420,286,8.786,163,514,27.29,132,128,4.929,59,36,1.5,15,14.00%,近战,坦克,
东皇太一,7669,319.1,3201,1926,104,470,286,8.786,163,360,18.64,99,106,3.786,53,42,1.786,17,14.00%,近战,坦克,
庄周,8149,345.6,3311,1694,91,420,297,9.071,170,497,24.79,150,113,4.143,55,36,1.5,15,14.00%,近战,辅助,坦克
太乙真人,6835,242.3,3443,1680,90,420,284,9.286,154,396,21.57,94,86,2.643,49,35,1.429,15,14.00%,近战,辅助,坦克
白起,8638,366.3,3510,1666,89,420,288,9.286,158,430,22.14,120,119,4.357,58,34,1.429,14,14.00%,近战,坦克,
雅典娜,6264,243,2862,1732,93,430,327,11.79,162,418,22.29,106,83,2.786,44,36,1.5,15,28.00%,近战,战士,坦克
刘邦,8073,336,3369,1940,105,470,302,10.29,158,504,27.07,125,117,4.214,58,42,1.786,17,42.00%,近战,坦克,辅助
刘禅,8581,372.6,3364,1694,91,420,295,8.357,178,459,22.86,139,118,4.429,56,36,1.5,15,14.00%,近战,坦克,
墨子,7176,292.4,3083,1722,93,420,328,10.5,181,475,26.64,102,100,3.5,51,37,1.571,15,28.00%,近战,法师,坦克
项羽,8057,380.1,3535,1694,91,420,306,10.64,157,494,26.5,123,121,4.5,58,36,1.5,15,14.00%,近战,坦克,
关羽,7107,270.4,3322,10,0,10,343,12.36,170,386,20.36,101,94,3.071,51,0,0,0,7.00%,近战,战士,坦克
后羿,5986,200.3,3182,1784,96,440,396,16.79,161,336,17.86,86,71,2.143,41,38,1.571,16,42.00%,远程,射手,
马可波罗,5584,181.6,3041,200,0,200,362,13.36,175,344,18.07,91,75,2.071,46,50,0,50,28.00%,远程,射手,
鲁班七号,5989,184.9,3401,1756,94,440,400,16.14,174,323,16.79,88,69,1.929,42,36,1.5,15,42.00%,远程,射手,
李元芳,5725,194.1,3007,1770,95,440,396,16.79,161,340,18.07,87,66,2.071,37,37,1.571,15,28.00%,远程,射手,
孙尚香,6014,198.5,3235,1756,94,440,411,17.07,172,346,18.36,89,69,2.071,40,36,1.5,15,42.00%,远程,射手,
黄忠,5898,194.6,3173,1784,96,440,403,16.5,172,319,16.29,91,68,2.071,39,38,1.571,16,42.00%,远程,射手,
狄仁杰,5710,176.3,3242,1770,95,440,376,14.79,169,338,17.36,95,66,1.857,40,37,1.571,15,42.00%,远程,射手,
虞姬,5669,192.3,2977,1770,95,440,407,17.29,165,329,17.5,84,63,1.929,36,38,1.571,16,42.00%,远程,射手,
成吉思汗,5799,198,3027,1742,93,440,394,15,184,329,16.79,94,66,2.071,37,36,1.5,15,42.00%,远程,射手,
嬴政,5471,167.6,3125,1946,104,490,309,10.86,157,295,14.57,91,70,1.857,44,41,1.714,17,0.00%,远程,法师,
武则天,5037,155.5,2860,1988,107,490,297,8.857,173,348,18.07,95,64,1.714,40,43,1.786,18,14.00%,远程,法师,
露娜,6612,256.5,3021,1836,99,450,335,12.29,163,375,19.5,102,99,3.357,52,39,1.643,16,28.00%,近战,战士,法师
甄姬,5584,181.6,3041,2002,108,490,296,9.357,165,330,17.36,87,71,2,43,44,1.857,18,14.00%,远程,法师,
妲己,5824,185.4,3229,2016,109,490,293,8.786,170,326,17.14,86,74,2,46,44,1.857,18,14.00%,远程,法师,
干将莫邪,5583,171,3189,1946,104,490,292,9.5,159,323,16.5,92,71,1.857,45,41,1.714,17,14.00%,远程,法师,
姜子牙,5399,174.4,2958,2002,108,490,317,10.64,168,342,16.86,106,69,1.929,42,44,1.857,18,14.00%,远程,法师,辅助
王昭君,5429,167.6,3083,1960,105,490,296,9.357,165,305,15.29,91,70,1.857,44,41,1.714,17,14.00%,远程,法师,
诸葛亮,5655,180,3135,1988,107,490,287,9.357,156,330,17.36,87,72,2,44,43,1.786,18,14.00%,远程,法师,
不知火舞,6014,198.5,3235,200,0,200,293,8.786,170,336,17.64,89,76,2.143,46,50,0,50,14.00%,近战,法师,刺客
貂蝉,5611,185.1,3019,1960,105,490,287,8.571,167,330,17.36,87,71,2,43,41,1.714,17,14.00%,近战,法师,刺客
孙膑,6811,257.4,3208,1926,104,470,328,10.86,176,413,22.5,98,85,2.857,45,42,1.786,17,14.00%,远程,辅助,法师
安琪拉,5994,190.8,3323,1960,105,490,293,8.786,170,315,16.57,83,76,2.071,47,41,1.714,17,14.00%,远程,法师,
小乔,5916,202,3088,1988,107,490,263,7.857,153,309,15.29,95,75,2.214,44,43,1.786,18,14.00%,远程,法师,
周瑜,5513,172.9,3093,1974,106,490,298,9.857,160,320,16.64,87,70,1.857,44,42,1.786,17,14.00%,远程,法师,
张良,5799,198,3027,1988,107,490,293,8.786,170,320,16.64,87,73,2.143,43,43,1.786,18,14.00%,远程,法师,
高渐离,6165,217.4,3122,1988,107,490,290,9.071,163,343,17.5,98,77,2.357,44,42,1.786,17,14.00%,远程,法师,
